city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return
Dallas,KDAL,2026-05-30,highest-temperature-in-dallas-on-may-30-2026,highest-temperature-in-dallas-on-may-30-2026-84-85f,84-85°F,0.0070247222828434056,0.9929752777171565,3.268707275390625,True,False,False,False,True,True,0.05,1.0,1780157700,0.9965,56.0,0.99,0.0004950000000000005,0.990495,0.0024802777171565316,True,0.009596211995012593
Dallas,KDAL,2026-05-30,highest-temperature-in-dallas-on-may-30-2026,highest-temperature-in-dallas-on-may-30-2026-86-87f,86-87°F,0.025464618275307348,0.9745353817246927,3.268707275390625,True,False,False,False,True,True,0.05,1.0,1780157700,0.9825,56.0,0.99,0.0004950000000000005,0.990495,-0.01595961827530734,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-73forbelow,73°F or below,0.0,1.0,7.676751708984369,False,True,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-74-75f,74-75°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-76-77f,76-77°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-78-79f,78-79°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-80-81f,80-81°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-82-83f,82-83°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-84-85f,84-85°F,0.0,1.0,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-86-87f,86-87°F,0.00038488643574310536,0.9996151135642569,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.999,55.0,0.99,0.0004950000000000005,0.990495,0.009120113564256904,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-88-89f,88-89°F,0.015395457429724216,0.9846045425702757,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,-0.005890457429724272,True,0.009596211995012593
Dallas,KDAL,2026-05-31,highest-temperature-in-dallas-on-may-31-2026,highest-temperature-in-dallas-on-may-31-2026-90-91f,90-91°F,0.040643322878605226,0.9593566771213948,7.676751708984369,False,False,False,False,True,True,0.05,1.0,1780244100,0.985,56.0,0.99,0.0004950000000000005,0.990495,-0.031138322878605185,True,0.009596211995012593
