contract_date,market_slug,bucket_label,entry_cost,model_probability,edge,win,net_return,pnl_usdc,risk_usdc,sized_pnl_usdc,month
2026-04-30,highest-temperature-in-seoul-on-april-30-2026-19c,19°C,0.279855,0.343428306009328,0.06357330600932798,True,2.5732790194922366,10.293116077968946,4.0,10.293116077968946,april
2026-05-01,highest-temperature-in-seoul-on-may-1-2026-19c,19°C,0.32578875,0.3741041313217126,0.04831538132171259,True,2.0694737003656507,8.277894801462603,4.0,8.277894801462603,may
2026-05-02,highest-temperature-in-seoul-on-may-2-2026-19c,19°C,0.25424875,0.3787176141185294,0.12446886411852937,False,-1.0,-4.0,4.0,-4.0,may
2026-05-04,highest-temperature-in-seoul-on-may-4-2026-20corhigher,20°C or higher,0.0309314875,0.3820656860612972,0.3511341985612972,False,-1.0,-4.0,6.0,-6.0,may
2026-05-06,highest-temperature-in-seoul-on-may-6-2026-21corhigher,21°C or higher,0.641655,0.7094796773855279,0.06782467738552789,True,0.5584698942578177,2.2338795770312707,4.0,2.2338795770312707,may
2026-05-07,highest-temperature-in-seoul-on-may-7-2026-18c,18°C,0.2434754875,0.40436481079735165,0.16088932329735164,False,-1.0,-4.0,6.0,-6.0,may
2026-05-09,highest-temperature-in-seoul-on-may-9-2026-20c,20°C,0.42713875,0.5404803382045689,0.11334158820456885,True,1.341159634896155,5.36463853958462,4.0,5.36463853958462,may
2026-05-10,highest-temperature-in-seoul-on-may-10-2026-21c,21°C,0.41704875,0.4239638487389382,0.006915098738938197,False,-1.0,-4.0,4.0,-4.0,may
2026-05-22,highest-temperature-in-seoul-on-may-22-2026-24c,24°C,0.08888874999999999,0.37453425311256716,0.2856455031125672,False,-1.0,-4.0,6.0,-6.0,may
2026-05-25,highest-temperature-in-seoul-on-may-25-2026-27c,27°C,0.43218,0.4414249714575831,0.009244971457583073,True,1.3138507103521682,5.255402841408673,4.0,5.255402841408673,may
2026-05-28,highest-temperature-in-seoul-on-may-28-2026-24c,24°C,0.29518875000000006,0.340049767290692,0.04486101729069192,False,-1.0,-4.0,4.0,-4.0,may
2026-05-29,highest-temperature-in-seoul-on-may-29-2026-25c,25°C,0.24398875,0.3296078137931053,0.08561906379310527,True,3.098549625751187,12.394198503004748,4.0,12.394198503004748,may
2026-05-30,highest-temperature-in-seoul-on-may-30-2026-25c,25°C,0.35629875000000005,0.3927397103432452,0.03644096034324512,False,-1.0,-4.0,4.0,-4.0,may
2026-06-01,highest-temperature-in-seoul-on-june-1-2026-26c,26°C,0.40694875,0.4313643387582135,0.02441558875821348,False,-1.0,-4.0,4.0,-4.0,june
2026-06-07,highest-temperature-in-seoul-on-june-7-2026-26c,26°C,0.135655,0.3705641749664551,0.2349091749664551,False,-1.0,-4.0,6.0,-6.0,june
2026-06-08,highest-temperature-in-seoul-on-june-8-2026-24c,24°C,0.32578875,0.33382077879040595,0.008032028790405932,True,2.0694737003656507,8.277894801462603,4.0,8.277894801462603,june
2026-06-09,highest-temperature-in-seoul-on-june-9-2026-25c,25°C,0.41200000000000003,0.41983310100025384,0.007833101000253806,True,1.4271844660194173,5.708737864077669,4.0,5.708737864077669,june
2026-06-10,highest-temperature-in-seoul-on-june-10-2026-24c,24°C,0.20284875,0.41099555057793674,0.20814680057793675,False,-1.0,-4.0,6.0,-6.0,june
2026-06-11,highest-temperature-in-seoul-on-june-11-2026-24c,24°C,0.20284875,0.4161126061653726,0.2132638561653726,False,-1.0,-4.0,6.0,-6.0,june
2026-06-13,highest-temperature-in-seoul-on-june-13-2026-27c,27°C,0.32578875,0.4262544817308555,0.10046573173085549,True,2.0694737003656507,8.277894801462603,4.0,8.277894801462603,june
2026-06-17,highest-temperature-in-seoul-on-june-17-2026-30c,30°C,0.5119999875,0.5234337861179803,0.011433798617980329,True,0.953125047683717,3.812500190734868,4.0,3.812500190734868,june
2026-06-21,highest-temperature-in-seoul-on-june-21-2026-27c,27°C,0.35629875000000005,0.4525695745075026,0.09627082450750257,True,1.8066334782257862,7.226533912903145,4.0,7.226533912903145,june
2026-06-22,highest-temperature-in-seoul-on-june-22-2026-27c,27°C,0.40694875,0.46011996919762627,0.05317121919762624,True,1.4573118850960962,5.829247540384385,4.0,5.829247540384385,june
2026-06-25,highest-temperature-in-seoul-on-june-25-2026-27c,27°C,0.24398875,0.4070263336292211,0.16303758362922108,False,-1.0,-4.0,6.0,-6.0,june
2026-06-26,highest-temperature-in-seoul-on-june-26-2026-26c,26°C,0.16672,0.4978568952449987,0.3311368952449987,False,-1.0,-4.0,6.0,-6.0,june
2026-06-27,highest-temperature-in-seoul-on-june-27-2026-29c,29°C,0.40694875,0.4511014744949673,0.044152724494967266,False,-1.0,-4.0,4.0,-4.0,june
2026-07-01,highest-temperature-in-seoul-on-july-1-2026-31c,31°C,0.24912,0.4025232920858616,0.15340329208586156,False,-1.0,-4.0,6.0,-6.0,july
2026-07-03,highest-temperature-in-seoul-on-july-3-2026-27c,27°C,0.39683875,0.48261294290743173,0.08577419290743171,False,-1.0,-4.0,4.0,-4.0,july
2026-07-04,highest-temperature-in-seoul-on-july-4-2026-28c,28°C,0.53746875,0.5519565830779698,0.014487833077969747,True,0.8605732891447175,3.44229315657887,4.0,3.44229315657887,july
2026-07-06,highest-temperature-in-seoul-on-july-6-2026-27c,27°C,0.33088,0.39568616852733335,0.06480616852733334,False,-1.0,-4.0,4.0,-4.0,july
2026-07-07,highest-temperature-in-seoul-on-july-7-2026-30corhigher,30°C or higher,0.53946355,0.7650574467372931,0.22559389673729313,True,0.8536933588932931,3.4147734355731725,6.0,5.122160153359759,july
2026-07-09,highest-temperature-in-seoul-on-july-9-2026-26c,26°C,0.37658874999999997,0.3969807018635354,0.02039195186353543,False,-1.0,-4.0,4.0,-4.0,july
2026-07-10,highest-temperature-in-seoul-on-july-10-2026-29c,29°C,0.25424875,0.44352055438068466,0.18927180438068464,False,-1.0,-4.0,6.0,-6.0,july
2026-07-11,highest-temperature-in-seoul-on-july-11-2026-33corhigher,33°C or higher,0.14705595000000002,0.6386804823085153,0.4916245323085152,False,-1.0,-4.0,6.0,-6.0,july
2026-07-15,highest-temperature-in-seoul-on-july-15-2026-27c,27°C,0.259375,0.34492085405345263,0.08554585405345261,False,-1.0,-4.0,4.0,-4.0,july
2026-07-18,highest-temperature-in-seoul-on-july-18-2026-26c,26°C,0.20284875,0.4087413116836831,0.2058925616836831,True,3.9297814258160333,15.719125703264133,6.0,23.5786885548962,july
2026-07-20,highest-temperature-in-seoul-on-july-20-2026-25c,25°C,0.31559875,0.43690057069490024,0.12130182069490025,False,-1.0,-4.0,4.0,-4.0,july
2026-07-22,highest-temperature-in-seoul-on-july-22-2026-27c,27°C,0.30029500000000003,0.4361140635861968,0.13581906358619678,True,2.330058775537388,9.320235102149551,4.0,9.320235102149551,july
2026-07-24,highest-temperature-in-seoul-on-july-24-2026-30c,30°C,0.22343875,0.5308512849758401,0.3074125349758401,False,-1.0,-4.0,6.0,-6.0,july
