feature,kind,family,used_station_count,used_stations,missing_pct_min_all_rows,missing_pct_max_all_rows,missing_pct_weighted_mean_all_rows,missing_pct_min_modeling_rows,missing_pct_max_modeling_rows,missing_pct_weighted_mean_modeling_rows,expected_nan_policy,schema_note
observed_wind_gust_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,69.807,97.047,79.933,69.995,97.035,80.008,may_be_null; numeric median imputer handles,
observed_wind_speed_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.509,0.187,0.051,0.512,0.188,may_be_null; numeric median imputer handles,
provider_max_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
provider_mean_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
provider_mean_minus_climatology_10y_f,numeric,v9/v11 climatology,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,should_be_present_after_normals_join; investigate if high missingness,
provider_median_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
provider_min_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
provider_spread_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
provider_std_high_f,numeric,provider ensemble/climatology delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v2_consensus_minus_7d_actual_f,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,may_be_null; numeric median imputer handles,
v2_humidity_warmup_interaction,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v2_morning_warmup_to_consensus_f,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v2_recent_heat_anomaly_f,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,may_be_null; numeric median imputer handles,
v2_recent_heat_momentum_f,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,may_be_null; numeric median imputer handles,
v2_spread_per_warmup_f,numeric,v2 heat/warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v3_high_so_far_above_current_f,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v3_high_so_far_minus_7d_actual_f,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,may_be_null; numeric median imputer handles,
v3_high_so_far_minus_lag_1d_f,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,may_be_null; numeric median imputer handles,
v3_humidity_remaining_warmup_interaction,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v3_remaining_warmup_from_high_so_far_f,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v3_remaining_warmup_per_spread_f,numeric,v3 high-so-far engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_all_forecast_precip,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_any_forecast_precip,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_forecast_observed_precip_match,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_forecast_wet_observed_dry,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_observed_precip_any,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v4_observed_precip_recent_mm_est,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.102,0.034,0.0,0.102,0.034,may_be_null; numeric median imputer handles,
