station,contract_date,model,actual_high_f,predicted_high_f,observed_high_11am_f,gfs_high_f,hrrr_high_f,nbm_high_f,actual_rounded_f,predicted_rounded_f,actual_bucket,predicted_bucket,bucket_hit,error_f,absolute_error_f
KDAL,2026-07-13,v11_settlement,92.0,87.45123028773645,80.0,87.62591064453129,84.44212768554692,83.93000000000004,92,87,92-93,86-87,False,4.5487697122635495,4.5487697122635495
KDAL,2026-07-14,v11_settlement,91.0,89.49926135845786,84.0,90.76536376953128,85.65996215820317,84.64998901367191,91,89,90-91,88-89,False,1.5007386415421422,1.5007386415421422
KDAL,2026-07-03,v11_settlement_fix,97.0,97.66730824448763,90.0,101.43308837890628,95.3411694335938,95.63000000000004,97,98,96-97,98-99,False,-0.6673082444876286,0.6673082444876286
KDAL,2026-07-04,v11_settlement_fix,98.0,99.58350414505121,92.0,104.8882885742188,97.58177612304692,97.79002197265628,98,100,98-99,100-101,False,-1.583504145051208,1.583504145051208
KDAL,2026-07-05,v11_settlement_fix,97.0,97.68643326016277,91.0,102.1856518554688,97.71460083007815,95.81001098632817,97,98,96-97,98-99,False,-0.6864332601627723,0.6864332601627723
KDAL,2026-07-06,v11_settlement_fix,98.0,97.17211142131423,90.0,101.72757690429692,96.39624145507815,94.73000000000005,98,97,98-99,96-97,False,0.8278885786857728,0.8278885786857728
KDAL,2026-07-07,v11_settlement_fix,101.0,97.8431798161136,91.0,101.57431762695316,96.47754028320315,95.09002197265627,101,98,100-101,98-99,False,3.1568201838863956,3.1568201838863956
KDAL,2026-07-08,v11_settlement_fix,101.0,99.69355644377485,92.0,103.13338745117191,98.4329418945313,97.79002197265628,101,100,100-101,100-101,True,1.3064435562251475,1.3064435562251475
KDAL,2026-07-09,v11_settlement_fix,101.0,100.21051721397993,91.0,104.5358471679688,98.1691052246094,99.94998901367192,101,100,100-101,100-101,True,0.7894827860200735,0.7894827860200735
KDAL,2026-07-10,v11_settlement_fix,98.0,99.22369601147184,91.0,103.1867260742188,95.9502514648438,98.51001098632815,98,99,98-99,98-99,True,-1.2236960114718443,1.2236960114718443
KDAL,2026-07-11,v11_settlement_fix,98.0,97.12335224593136,90.0,98.30819213867191,95.79435546875004,96.71001098632816,98,97,98-99,96-97,False,0.8766477540686424,0.8766477540686424
KDAL,2026-07-12,v11_settlement_fix,98.0,94.02365946760034,87.0,94.42545898437504,93.05332153320316,92.03000000000004,98,94,98-99,94-95,False,3.976340532399661,3.976340532399661
KDAL,2026-07-13,v11_settlement_fix,92.0,87.52465761718898,80.0,87.62591064453129,84.44212768554692,83.93000000000004,92,88,92-93,88-89,False,4.4753423828110215,4.4753423828110215
KDAL,2026-07-14,v11_settlement_fix,91.0,88.68241161395298,84.0,90.76536376953128,85.65996215820317,84.64998901367191,91,89,90-91,88-89,False,2.3175883860470208,2.3175883860470208
KDAL,2026-07-03,v20,97.0,96.35246416899162,90.0,101.43308837890628,95.3411694335938,95.63000000000004,97,96,96-97,96-97,True,0.6475358310083834,0.6475358310083834
KDAL,2026-07-04,v20,98.0,98.11981509198878,92.0,104.8882885742188,97.58177612304692,97.79002197265628,98,98,98-99,98-99,True,-0.1198150919887837,0.1198150919887837
KDAL,2026-07-05,v20,97.0,97.11756785175396,91.0,102.1856518554688,97.71460083007815,95.81001098632817,97,97,96-97,96-97,True,-0.1175678517539609,0.1175678517539609
KDAL,2026-07-06,v20,98.0,96.61262706407314,90.0,101.72757690429692,96.39624145507815,94.73000000000005,98,97,98-99,96-97,False,1.3873729359268623,1.3873729359268623
KDAL,2026-07-07,v20,101.0,96.64134327165452,91.0,101.57431762695316,96.47754028320315,95.09002197265627,101,97,100-101,96-97,False,4.35865672834548,4.35865672834548
KDAL,2026-07-08,v20,101.0,98.41835607743862,92.0,103.13338745117191,98.4329418945313,97.79002197265628,101,98,100-101,98-99,False,2.5816439225613834,2.5816439225613834
KDAL,2026-07-09,v20,101.0,99.28875540315363,91.0,104.5358471679688,98.1691052246094,99.94998901367192,101,99,100-101,98-99,False,1.7112445968463703,1.7112445968463703
KDAL,2026-07-10,v20,98.0,98.32826185789135,91.0,103.1867260742188,95.9502514648438,98.51001098632815,98,98,98-99,98-99,True,-0.32826185789134854,0.32826185789134854
KDAL,2026-07-11,v20,98.0,96.59946553169405,90.0,98.30819213867191,95.79435546875004,96.71001098632816,98,97,98-99,96-97,False,1.400534468305949,1.400534468305949
KDAL,2026-07-12,v20,98.0,93.08533133168211,87.0,94.42545898437504,93.05332153320316,92.03000000000004,98,93,98-99,92-93,False,4.914668668317887,4.914668668317887
KDAL,2026-07-13,v20,92.0,86.10998666140154,80.0,87.62591064453129,84.44212768554692,83.93000000000004,92,86,92-93,86-87,False,5.8900133385984645,5.8900133385984645
KDAL,2026-07-14,v20,91.0,88.16836683975816,84.0,90.76536376953128,85.65996215820317,84.64998901367191,91,88,90-91,88-89,False,2.831633160241836,2.831633160241836
